Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female,urban_pop_share,suicide_death_rate
Fiji,2.78,4570.29,64.4,6.4,0.8,27.9,0.0,0.0,0.5,0.0,0.37,8.96,0.0,2005,23623.0,22.0,0.35,22.6,874929.0,0.0,0.0,82.05135345458984,409743.0,411863.0,49.001346588134766,49.87,9.9
Finland,13.11,42530.62,81.6,0.8,17.6,0.0,0.0,0.0,0.0,0.0,0.82,12.18,0.0,2005,268665.0,118.0,4.25,39.9,5246070.0,3.0,5.718566469757362e-07,100.0,4349276.0,896820.0,51.054595947265625,82.9,17.4
France,13.09,35213.89,63.0,7.5,28.0,0.05,0.5,0.3,0.2,0.5,0.81,10.32,5344170.0,2005,2780480.0,705.0,1.35,38.0,60510080.0,6.0,9.915703301003733e-08,100.0,48730237.0,14449119.0,51.58690643310547,77.13,16.0
Gabon,9.36,7504.26,76.5,11.2,5.6,0.0,0.0,6.0,0.7,0.0,0.29,6.92,0.0,2005,64515.0,138.0,0.65,19.0,1458362.0,0.0,0.0,81.5999984741211,1146536.0,244014.0,49.9914436340332,82.45,15.8
Gambia,4.27,711.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.62,0.0,2005,61963.0,143.0,0.2,15.9,1660377.0,11.0,6.6250014303980364e-06,30.456268310546875,803056.0,740689.0,50.32100677490234,52.02,10.5
Georgia,6.39,2329.57,88.5,10.7,0.7,0.0,0.0,0.0,0.0,0.0,0.38,12.09,87000.0,2005,164603.0,387.0,0.37,33.5,3961183.0,49.0,1.2370041979883283e-05,97.93505096435548,2091919.0,1810550.0,52.33504486083984,53.6,5.2
Germany,13.28,35310.47,68.7,5.8,24.7,0.0,0.3,0.3,0.1,0.0,0.87,13.7,945300.0,2005,3308532.0,847.0,1.54,41.2,81212170.0,6.0,7.388055263145905e-08,100.0,62660267.0,19809155.0,51.13709259033203,75.98,10.4
Ghana,3.77,1175.86,74.9,17.8,4.2,0.0,0.0,4.9,0.2,0.0,0.66,7.19,0.0,2005,730934.0,1430.0,0.19,18.3,22496952.0,2.0,8.890093200181073e-08,41.25,10320074.0,11494574.0,49.4871711730957,47.31,10.7
Greece,10.73,22185.62,88.1,5.3,6.1,0.1,0.0,0.0,0.0,0.0,0.75,9.75,376866.0,2005,749066.0,120.0,3.0,38.8,11113450.0,0.0,0.0,100.0,8180275.0,2807039.0,50.49874496459961,74.45,3.1
Grenada,8.76,8558.83,96.6,0.3,1.0,0.7,0.0,1.3,0.2,0.0,0,7.77,0.0,2005,3527.0,4.0,1.02,24.6,110268.0,0.0,0.0,87.63703918457031,37567.0,67091.0,49.843299865722656,35.9,5.3
Guatemala,4.29,3320.16,95.2,0.0,4.1,0.0,0.0,0.6,0.07,0.0,0.4,3.7,0.0,2005,401300.0,5659.0,0.33,17.5,13132818.0,2.0,1.522902396119401e-07,78.38920593261719,6074432.0,6873860.0,50.958282470703125,46.91,11.1
Guinea,0.77,661.1,10.9,84.4,1.8,0.0,0.0,2.7,0.0,0.0,0.1,1.51,0.0,2005,271487.0,987.0,0.17,15.9,9140112.0,4.0,4.3763139882749796e-07,20.200000762939453,2938479.0,6171106.0,52.32036209106445,32.26,11.0
Guinea-Bissau,5.31,562.38,20.0,45.2,4.0,0.0,0.0,28.0,0.0,0.0,0.23,2.2,0.0,2005,42513.0,162.0,0.27,16.7,1379714.0,5.0,3.6239394541187522e-06,5.260666370391846,513185.0,831746.0,51.74771118164063,38.16,16.9
Guyana,7.98,3944.44,66.0,6.4,2.0,27.9,0.0,0.2,0.6,0.0,0.35,6.95,0.0,2005,35212.0,182.0,0.19,22.0,759713.0,0.0,0.0,77.5,207596.0,538560.0,49.89358901977539,27.82,36.4
Haiti,3.86,1283.9,86.9,0.0,10.6,0.0,0.0,2.2,0.3,0.0,0.21,4.29,0.0,2005,287008.0,1896.0,0.3,19.2,9111901.0,41.0,4.4996099057704865e-06,34.58800506591797,3920687.0,5274602.0,50.72382354736328,42.64,10.2
