Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female
Comoros,0.25,1208.48,0.2,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.35,4.16,0.0,2010,291.5,60.0,0.21,17.5,656032.0,0.0,0.0,69.80770874023438,192929.0,496767.0,49.59706878662109
Congo,6.17,2421.71,85.9,2.0,9.0,0.0,0.0,2.8,1.1,0.0,0.17,5.67,0.0,2010,291.5,468.0,0.54,18.7,4437883.0,0.0,0.0,39.78861999511719,2703396.0,1570342.0,50.244728088378906
Costa Rica,4.8,10236.98,90.9,0.0,7.9,0.0,0.0,0.8,0.3,0.0,0.85,8.23,0.0,2010,291.5,530.0,0.37,28.1,4622250.0,0.0,0.0,98.99573516845705,3283623.0,1293748.0,49.91065979003906
Cote d'Ivoire,2.53,1687.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,5.17,0.0,2010,291.5,272.92,0.23,16.7,21120040.0,82.0,3.882568404226507e-06,58.30146789550781,9718242.0,10814702.0,49.22055816650391
Croatia,10.08,11748.95,87.46,1.32,6.39,0.0,0.0,0.0,1.87,3.86,0.58,11.02,46346.0,2010,291.5,59.0,1.82,40.8,4368680.0,4.0,9.156083759854235e-07,100.0,2369143.0,1926284.0,51.83624267578125
Cuba,5.02,6759.34,59.2,0.0,23.0,0.2,0.0,17.4,0.0,0.0,0.06,11.23,10760.0,2010,291.5,519.0,0.14,37.3,11290420.0,0.0,0.0,97.55664825439452,8598651.0,2627182.0,50.260990142822266
Cyprus,11.35,26019.76,73.2,25.3,1.2,0.0,0.2,0.0,0.0,0.0,0.75,11.44,10923.0,2010,291.5,6.0,1.06,32.9,1129693.0,0.0,0.0,100.0,751584.0,361033.0,50.0652961730957
Czechia,14.06,16505.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,12.39,46276.0,2010,291.5,101.0,0.72,38.7,10464750.0,0.0,0.0,100.0,7673029.0,2801381.0,50.91815185546875
Democratic Republic of Congo,1.75,404.15,95.8,1.9,1.8,0.05,0.0,0.7,0.1,3e-05,0.13,5.6,0.0,2010,291.5,272.92,0.31,15.7,66391260.0,1352.0,2.0364126241917988e-05,12.744050979614258,25833935.0,38729918.0,50.21731948852539
Denmark,11.0,51173.46,83.5,4.1,11.8,0.4,0.2,0.0,0.0,0.0,0.87,12.43,0.0,2010,291.5,46.0,3.66,39.6,5550850.0,0.0,0.0,100.0,4815111.0,732572.0,50.38059616088867
Djibouti,0.67,2013.0,2.3,96.9,0.2,0.0,0.0,0.3,0.0,0.2,0.14,3.97,0.0,2010,291.5,63.0,0.29,20.8,919206.0,3.0,3.2636862683663946e-06,56.17995071411133,646941.0,193253.0,46.787052154541016
Dominica,9.65,7680.48,94.4,0.1,0.5,0.0,0.1,3.0,1.7,0.0,0,7.84,0.0,2010,291.5,272.92,0.59,30.4,68775.0,0.0,0.0,94.17394256591795,48263.0,22614.0,0.5
Dominican Republic,6.11,5771.92,88.0,0.0,10.9,0.0,0.0,0.9,0.1,0.0,0.48,7.24,0.0,2010,291.5,272.92,0.26,23.9,9775756.0,0.0,0.0,98.14541625976562,7150440.0,2544677.0,49.8105697631836
Ecuador,6.16,5323.74,94.1,0.0,5.5,0.0,0.0,0.3,0.0,0.0,0.41,7.85,0.0,2010,291.5,272.92,0.37,23.8,14989581.0,0.0,0.0,97.46214294433594,9410467.0,5600647.0,49.90143203735352
Egypt,0.36,3485.28,11.2,88.9,0.0,0.0,0.0,0.0,0.0,0.1,0.15,7.37,4400.0,2010,291.5,272.92,0.08,22.4,87252420.0,39.0,4.4697900642755813e-07,99.3945541381836,35603060.0,47158184.0,49.48575210571289
El Salvador,3.31,3334.93,88.2,0.0,11.0,0.0,0.0,0.5,0.3,0.0,0.35,6.34,0.0,2010,291.5,272.92,0.15,22.7,6114039.0,0.0,0.0,91.58023834228516,4047471.0,2136406.0,52.6756591796875
Equatorial Guinea,9.2,13841.4,88.7,10.0,5.0,0.0,0.0,1.7,0.5,0.0,0.07,5.47,0.0,2010,291.5,34.0,0.39,19.4,1094538.0,0.0,0.0,66.15726470947266,622236.0,321404.0,45.59355163574219
Eritrea,1.38,653.87,50.0,48.0,0.1,0.0,0.0,0.4,0.0,0.0,0.02,4.35,0.0,2010,291.5,366.0,0.31,17.3,3147733.0,1.0,3.1768895265259155e-07,40.18312072753906,1115201.0,2055236.0,50.036163330078125
Estonia,12.39,14585.84,39.9,0.2,59.6,0.0,0.0,0.0,0.0,0.1,0.76,13.33,0.0,2010,291.5,69.0,7.89,39.3,1331535.0,1.0,7.510129286875673e-07,100.0,906655.0,424820.0,53.43032836914063
Eswatini,6.82,3304.44,88.1,2.0,10.1,0.1,0.0,1.0,0.4,0.0,0.08,4.02,0.0,2010,291.5,256.0,0.52,18.4,1099926.0,0.0,0.0,45.552337646484375,239376.0,825465.0,52.8393440246582
Ethiopia,2.5,453.3,54.0,42.6,0.06,0.0,0.0,2.6,0.0,1.0,0.15,2.13,914.0,2010,291.5,272.92,0.35,16.1,89237800.0,573.0,6.421045790012752e-06,25.409936904907227,15178365.0,72461597.0,50.10554885864258
Fiji,3.0,4523.87,64.4,6.4,0.8,27.9,0.0,0.0,0.5,0.0,0.37,9.66,0.0,2010,291.5,21.0,0.28,24.0,905176.0,0.0,0.0,89.24858093261719,448575.0,411241.0,48.94919204711914
Finland,12.59,43563.57,81.6,0.8,17.6,0.0,0.0,0.0,0.0,0.0,0.82,12.42,0.0,2010,291.5,110.0,5.14,41.0,5363279.0,1.0,1.8645310079897018e-07,100.0,4492880.0,870472.0,50.92364883422852
France,12.4,35639.8,63.0,7.5,28.0,0.05,0.5,0.3,0.2,0.5,0.81,10.78,4531671.0,2010,291.5,627.0,1.69,39.1,62444570.0,17.0,2.72241445493179e-07,100.0,50961405.0,14066100.0,51.560489654541016
Gabon,9.89,6863.54,76.5,11.2,5.6,0.0,0.0,6.0,0.7,0.0,0.29,7.57,0.0,2010,291.5,154.0,0.66,20.1,1711117.0,0.0,0.0,89.46172332763672,1389181.0,234965.0,49.4062728881836
Gambia,3.81,753.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,3.18,0.0,2010,291.5,168.0,0.19,15.9,1937284.0,0.0,0.0,46.65527725219727,998130.0,795069.0,50.37248992919922
Georgia,9.67,3100.72,88.5,10.7,0.7,0.0,0.0,0.0,0.0,0.0,0.38,12.38,103400.0,2010,291.5,237.0,0.36,34.6,3836834.0,4.0,1.0425262078057065e-06,100.0,2102941.0,1683754.0,52.355106353759766
Germany,12.64,37760.91,68.7,5.8,24.7,0.0,0.3,0.3,0.1,0.0,0.87,13.85,690600.0,2010,291.5,760.0,1.57,43.2,81325090.0,6.0,7.377796938189678e-08,100.0,62940432.0,18836498.0,50.983192443847656
