Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female,urban_pop_share,suicide_death_rate,depression_per_pop
Cape Verde,5.95,3043.03,89.1,2.0,9.1,0.0,0.0,1.5,0.2,0.0,0.68,5.86,0.0,2015,24622.0,61.0,0.18,23.7,552169.0,0.0,0.0,86.35784149169922,337408.0,187332.0,49.86660003662109,64.3,16.4,0.04459142038035457
Central African Republic,2.43,377.42,89.5,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.13,4.23,0.0,2015,220075.0,984.0,0.39,14.5,4819341.0,701.0,0.0001454555716227592,12.72702980041504,1809714.0,2683457.0,50.44557571411133,40.28,20.2,0.04566495709683129
Chad,1.45,776.02,40.6,58.0,2.5,0.0,0.0,1.4,0.1,0.0,0.12,2.22,0.0,2015,450323.0,1348.0,0.16,14.7,14140277.0,543.0,3.840094504513596e-05,7.699999809265137,3177085.0,10933886.0,50.09745407104492,22.51,13.3,0.03184683015757046
Chile,9.26,13574.17,89.4,0.0,8.6,0.0,0.06,1.5,0.2,0.1,0.82,10.26,1286686.0,2015,708110.0,814.0,0.33,33.3,17870122.0,0.0,0.0,99.71484375,15698029.0,2271327.0,50.77842712402344,87.36,10.1,0.03962535902105201
China,7.15,8016.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,7.2,1916347.0,2015,48058838.0,13370.0,0.53,35.6,1393715500.0,211.0,1.5139388203690065e-07,100.0,765822300.0,614037700.0,48.64348602294922,55.5,7.3,0.0344825310474053
Colombia,5.78,6175.88,86.0,0.2,11.0,0.01,0.01,1.0,2.0,0.01,0.57,8.05,2426.0,2015,1037211.0,21100.0,0.23,28.5,47119730.0,247.0,5.241965520600394e-06,98.18689727783205,37904385.0,9616282.0,50.9923095703125,79.76,5.6,0.022012244127884432
Comoros,0.88,1242.59,0.2,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.33,4.78,0.0,2015,24744.0,62.0,0.28,18.6,730221.0,0.0,0.0,74.57198333740234,221336.0,556099.0,49.56632995605469,28.47,7.8,0.033885631884046065
Congo,7.9,2447.54,85.9,2.0,9.0,0.0,0.0,2.8,1.1,0.0,0.19,6.11,0.0,2015,219612.0,510.0,0.59,18.1,5064390.0,0.0,0.0,44.401649475097656,3182829.0,1673264.0,50.112754821777344,65.54,12.6,0.04336395893681174
Costa Rica,4.76,11642.78,90.9,0.0,7.9,0.0,0.0,0.8,0.3,0.0,0.86,8.58,0.0,2015,155850.0,554.0,0.4,30.2,4895241.0,0.0,0.0,99.40980529785156,3726120.0,1121685.0,49.966426849365234,76.86,7.2,0.03183704336517855
Cote d'Ivoire,2.61,1972.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.83,0.0,2015,694988.0,2827.0,0.23,16.8,23596738.0,15.0,6.356810843939531e-07,62.59999847412109,11483937.0,11742211.0,49.4220085144043,49.44,14.7,0.029452715032052313
