Country ,Christian ,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish
Laos,1.5,0,0.9,0.01,66,30.7,0.7,0
Malaysia,9.2,63.2,0.7,6.5,17.7,2.3,0.2,0
Myanmar,7.6,4,0.5,2.1,80,5.8,0.2,0
Philippines,85,5.5,0.1,0.01,1.5,1.5,0.1,0.03
Singapore,18.2,14.3,16.4,6,33.9,2.3,9.7,0
Thailand,0.9,5.5,0.3,0.2,93.2,0.09,0,0
Timor-Leste,99.6,0.1,0,0,0,0.1,0,0
Vietnam,8.2,0.2,29.6,0.21,16.4,45.3,0.4,0
Afghanistan,0.01,99.7,0,0,0,0,0.06,0
Bangladesh,0.3,91.04,0,7.95,0.61,0.4,0.12,0
Bhutan,0,0,0,25,74.7,1.9,0,0
India,2.3,14.23,0.24,79.8,0.7,0,1.04,1.72
Maldives,0,100,0,0,0,0,0,0
Nepal,0.45,4.6,0,84,10,3.7,0.07,0
Pakistan,1.27,96.47,0,2.14,0,0,0.01,0.01
Sri Lanka,0,0,0,30.6,70.3,0,0,0
Kazakhstan,24.8,70.4,4.2,0.01,0.2,0.3,0.1,0
Kyrgyzstan,11.4,88,0.4,0.01,0,0.1,0,0
Tajikistan,1.6,96.7,1.5,0.01,0,0,0,0
Turkmenistan,6.4,93,0.5,0,0,0,0,0
Uzbekistan,2.3,96.7,0.8,0.01,0.01,0.01,0,0.01
Armenia,98.5,0,1.3,0,0,0,0.1,0
Azerbaijan,3,96.9,0,0,0,0,0,0
Bahrain,14.5,70.3,1.9,9.8,2.5,0,0.2,0.6
Cyprus,73.2,25.3,1.2,0,0.2,0,0,0
Iran,0.4,96.5,1.5,0,0,0,1.6,0
Iraq,0.8,99,0.1,0,0,0,0.06,0
Israel,2,18.6,3.1,0,0.3,0.2,0.1,75.6
Jordan,2.2,97.2,0,0.1,0.4,0,0,0
Kuwait,14.3,74.1,0,8.5,2.8,0,0.3,0
Lebanon,47.3,55.3,0.3,0,0.2,0,0,0
Oman,6.5,85.9,0.2,5.5,0.8,0,1,0
Palestine,2.4,97.6,0,0,0,0,0,0
Qatar,14.2,65.5,0.9,15.1,3.1,0,0.7,0
Saudi Arabia,4.4,93,0.7,1.1,0.3,0.3,0.3,0
Syria,5.2,92.8,2,0,0,0,0,0
Turkey,0.4,98,1.2,0,0.05,0.03,0.2,0.03
United Arab Emirates,14,70,1.1,10,2,0,0.8,0
Yemen,0.2,99.1,0.1,0.6,0,0,0,0
American Samoa,98.30%,0.10%,0.70%,0.00%,0.30%,0.40%,0.30%,0.00%
Cook Islands,96.00%,0.00%,3.20%,0.00%,0.00%,0.00%,0.80%,0.00%
French Polynesia,94.00%,0.10%,4.80%,0.00%,0.00%,0.50%,0.40%,0.00%
Niue,96.40%,0.10%,3.20%,0.00%,0.00%,0.00%,0.20%,0.00%
Samoa,96.80%,0.10%,2.50%,0.00%,0.00%,0.00%,0.30%,0.00%
Tokelau,99.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%
Tonga,99.00%,0.10%,0.00%,0.10%,0.00%,0.00%,0.80%,0.00%
Tuvalu,99.80%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Wallis and Futuna,97.40%,0.00%,0.60%,0.00%,0.00%,1.20%,0.80%,0.00%
Guam,94.20%,0.10%,1.60%,0.00%,1.10%,1.50%,1.60%,0.00%
Kiribati,97.00%,0.20%,0.80%,0.00%,0.00%,0.00%,2.00%,0.00%
Marshall Islands,97.50%,0.20%,1.50%,0.00%,0.00%,0.10%,0.80%,0.00%
Micronesia,95.20%,0.10%,1.00%,0.00%,0.40%,2.60%,0.70%,0.00%
Nauru,79.00%,0.01%,4.50%,0.00%,1.10%,8.10%,7.40%,0.00%
Northern Mariana Islands,81.30%,0.70%,1.00%,0.00%,10.60%,5.30%,1.10%,0.00%
Palau,86.80%,0.10%,1.20%,0.00%,0.80%,0.80%,10.20%,0.00%
Fiji,64.40%,6.40%,0.80%,27.90%,0.00%,0.00%,0.50%,0.00%
New Caledonia,85.20%,2.80%,10.40%,0.00%,0.60%,0.20%,0.80%,0.00%
Papua New Guinea,99.20%,0.00%,0.00%,0.00%,0.00%,0.40%,0.20%,0.00%
Solomon Islands,97.40%,0.10%,0.20%,0.00%,0.30%,1.30%,0.70%,0.00%
Vanuatu,93.30%,0.10%,1.20%,0.00%,0.00%,4.10%,1.40%,0.00%
Australia,43.90%,3.20%,38.90%,2.70%,2.40%,1.30%,0.80%,0.40%
New Zealand,37.00%,1.31%,48.47%,2.63%,1.12%,0.40%,3.27%,0.11%
Belgium,64.25,5.9,29,0,0.2,0.2,0,0.3
France,63,7.5,28,0.05,0.5,0.3,0.2,0.5
Ireland,85.14,1.32,10.12,0.29,0.2,0,0.2,0.05
Isle of Man,48.5,0.5,38.8,0.3,0.5,0,0,0.1
Luxembourg,70.4,2.3,26.8,0,0,0,0.3,0.1
Monaco,86,0.4,11.7,0,0,0,0.2,1.7
Netherlands,50.6,6,42.1,0.5,0.2,0.2,0.2,0.2
United Kingdom[16][17][18],47.8,5.9,36.6,1.6,0.4,0,1.3,0.4
Andorra,89.50%,0.80%,8.80%,0.50%,0.00%,0.00%,0.10%,0.30%
Gibraltar,88.80%,4.00%,2.90%,1.80%,0.00%,0.00%,0.30%,2.10%
Italy,83.30%,3.70%,12.40%,0.10%,0.20%,0.10%,0.10%,0.08%
Malta,97.00%,0.20%,2.50%,0.20%,0.00%,0.00%,0.00%,0.00%
Portugal,93.80%,0.60%,4.40%,0.10%,0.60%,0.50%,0.00%,0.00%
